Temp,Turbidity (cm),DO(mg/L),BOD (mg/L),CO2,pH`,Alkalinity (mg L-1 ),Hardness (mg L-1 ),Calcium (mg L-1 ),Ammonia (mg L-1 ),Nitrite (mg L-1 ),Phosphorus (mg L-1 ),H2S (mg L-1 ),Plankton (No. L-1),Water Quality
0.800103481,0.101013495,0.005002937,0.464266768,1.344209611,-1.874446532,0.703353734,0.752418112,0.844370926,0.286252859,0.872888454,0.001177068,0.673171576,1.873634409,2
0.766530514,0.942031465,0.761686887,0.70715142,2.997268269,-2.929129818,0.905516951,0.020502221,0.910692761,0.096105727,0.437463356,0.00096047,0.236103276,-2.941487377,2
0.772421433,0.908324628,0.828847103,0.847010703,2.099796412,1.224636842,0.712258309,0.02878117,0.774731369,0.975183061,0.982408057,0.001377239,0.655515824,2.82472392,2
0.017205937,0.000149584,0.729944665,0.53845894,2.324197592,-1.831201775,0.878714325,0.01598795,0.02044105,0.885484212,0.715865279,0.638145427,0.262205932,-2.131275177,2
0.769347257,0.020730084,0.082757605,0.884694459,2.553105998,1.601523656,0.826100341,0.852198207,0.636054601,0.802256127,0.933132354,0.77489295,0.61473897,-2.292650767,2
0.033502171,0.10447548,0.847264879,0.84092711,1.300926017,3.164131326,0.926659211,0.909057582,0.68809574,0.671787543,0.694823369,0.00122612,0.711602638,2.801078258,2
0.837582209,0.043711405,0.987583693,0.654283584,2.746752508,1.747121839,0.782771028,0.044000316,0.66570086,0.171426636,0.954735381,0.955545024,0.992688789,2.387735268,2
0.959660604,0.968048533,0.039226994,0.681480416,2.388464211,-3.93853595,0.985858499,0.039760236,0.724902118,0.470447974,0.593849105,0.000321538,0.311743796,-2.804931813,2
0.963754821,0.114972316,0.139976547,0.463622705,3.040965047,-4.851279965,0.799951981,0.017757537,0.659242444,0.05296128,0.502935805,0.647881389,0.645699472,3.024564095,2
0.010755791,0.105669429,0.573114108,0.983536664,1.378426099,-4.879140475,0.890029625,0.808287716,0.703162604,0.652768812,0.929941212,0.001836213,0.348682801,-2.385289876,2
0.162259318,0.92223762,0.12538782,0.418300569,1.849453583,3.7587452,0.656507351,0.977362241,0.014463479,0.668661915,0.670052133,0.808153484,0.245707853,-2.399411308,2
0.143514169,0.092651733,0.112686934,0.949891424,3.020187343,-1.64553205,0.821550397,0.047206869,1,0.211576415,0.912823301,0.000770122,0.826909654,2.868550774,2
0.04198378,0.813003392,0.689461648,0.429590783,2.656239497,-2.195623275,0.867354738,0.938661392,0.791853252,0.927435524,0.491915611,0.914800695,0.787750281,-3.082037469,2
0.899327444,0.975991221,0.72634307,0.853212074,2.553418701,3.56419782,0.74474064,0.88855663,0.651448198,0.199899742,0.436311964,0.000580124,0.770284132,-2.332234266,2
0.719348685,0.879719172,0.02810782,0.674662583,2.580281777,-1.840097924,0.817270514,0.046962828,0.007755614,0.605270622,0.60735653,0.62688853,0.404624741,2.607285974,2
0.127022085,0.040850889,0.099746193,0.971227274,1.4698684,-3.701196455,0.95042107,0.04035123,0.735064538,0.698093461,0.60950643,0.000869202,0.605989842,3.019076464,2
0.992619358,0.990261764,0.026517663,0.629759452,2.826358109,-3.074386397,0.785506707,0.011848096,0.011914722,0.90950596,0.436387241,0.686981678,0.530665187,2.824604578,2
0.737196688,0.954237767,0.66356778,0.49200899,2.812691091,3.342237972,0.811951363,0.003870362,0.665365094,0.688309491,0.547496342,0.000873669,0.8916032,-2.099149897,2
0.955353511,0.096847703,0.954860717,0.781351115,1.388569226,-4.839633065,0.927177082,1,0.007645911,0.581515256,0.970309804,0.768996162,0.787931928,2.937700298,2
0.042948268,0.862324853,0.170788511,0.886026801,2.649629792,-1.378753483,0.6551103,0.803759146,0.725835259,0.074109917,0.44646322,0.976952727,0.482353632,-2.047205441,2
0.887859423,0.823201648,0.075282455,0.901323075,1.458416759,3.018340404,0.823869726,0.020108117,0.014052157,0.772415495,0.745942441,0.610612928,0.700868969,2.019170609,2
0.042414665,0.012964675,0.558949996,0.53653462,2.642402673,-3.49438383,0.861648497,0.033726057,0.946606566,0.42395083,0.682001478,0.000978007,0.445450689,-2.05366444,2
0.937203756,0.015996233,0.054653787,0.385032901,2.659585802,2.50691175,0.864351175,0.03468317,0.0002376,0.47677964,0.435988323,0.001242467,0.719187318,-2.542156898,2
0.75911621,0.122975673,0.988471621,0.648059873,1.338968406,-1.79596051,0.830671067,0.034690317,0.020762158,0.267090381,0.466332657,0.000666962,0.482632466,-2.130204635,2
0.0567873,0.819088869,0.136636527,0.986361553,1.992789074,-1.745740373,0.962526832,0.997156745,0.017994142,0.810985596,0.448144539,0.000871807,0.267734896,-2.615751846,2
